timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight
06:28 (GMT),07:50 (GMT),11:59 (GMT),14:12 (GMT),15:58 (GMT),16:00 (GMT),17:06 (GMT),06:18 (GMT),23:54 (GMT),01-Dec-21,1638349261,01/12/2021,DD-MM-YYYY,1,Wednesday,12,December,2021,AD,Anno Domini,25-04-1443,DD-MM-YYYY,25,Al Arba'a,الاربعاء,4,Rabīʿ al-thānī,رَبيع الثاني,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:29 (GMT),07:51 (GMT),12:00 (GMT),14:11 (GMT),15:58 (GMT),15:59 (GMT),17:06 (GMT),06:19 (GMT),23:54 (GMT),02-Dec-21,1638435661,02/12/2021,DD-MM-YYYY,2,Thursday,12,December,2021,AD,Anno Domini,26-04-1443,DD-MM-YYYY,26,Al Khamees,الخميس,4,Rabīʿ al-thānī,رَبيع الثاني,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:30 (GMT),07:52 (GMT),12:00 (GMT),14:11 (GMT),15:57 (GMT),15:58 (GMT),17:05 (GMT),06:20 (GMT),23:55 (GMT),03-Dec-21,1638522061,03/12/2021,DD-MM-YYYY,3,Friday,12,December,2021,AD,Anno Domini,27-04-1443,DD-MM-YYYY,27,Al Juma'a,الجمعة,4,Rabīʿ al-thānī,رَبيع الثاني,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:31 (GMT),07:54 (GMT),12:00 (GMT),14:10 (GMT),15:57 (GMT),15:58 (GMT),17:05 (GMT),06:21 (GMT),23:55 (GMT),04-Dec-21,1638608461,04/12/2021,DD-MM-YYYY,4,Saturday,12,December,2021,AD,Anno Domini,28-04-1443,DD-MM-YYYY,28,Al Sabt,السبت,4,Rabīʿ al-thānī,رَبيع الثاني,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:32 (GMT),07:55 (GMT),12:01 (GMT),14:10 (GMT),15:56 (GMT),15:57 (GMT),17:05 (GMT),06:22 (GMT),23:56 (GMT),05-Dec-21,1638694861,05/12/2021,DD-MM-YYYY,5,Sunday,12,December,2021,AD,Anno Domini,29-04-1443,DD-MM-YYYY,29,Al Ahad,الاحد,4,Rabīʿ al-thānī,رَبيع الثاني,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:33 (GMT),07:56 (GMT),12:01 (GMT),14:09 (GMT),15:56 (GMT),15:57 (GMT),17:05 (GMT),06:23 (GMT),23:56 (GMT),06-Dec-21,1638781261,06/12/2021,DD-MM-YYYY,6,Monday,12,December,2021,AD,Anno Domini,01-05-1443,DD-MM-YYYY,1,Al Athnayn,الاثنين,5,Jumādá al-ūlá,جُمادى الأولى,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:34 (GMT),07:57 (GMT),12:02 (GMT),14:09 (GMT),15:55 (GMT),15:57 (GMT),17:04 (GMT),06:24 (GMT),23:56 (GMT),07-Dec-21,1638867661,07/12/2021,DD-MM-YYYY,7,Tuesday,12,December,2021,AD,Anno Domini,02-05-1443,DD-MM-YYYY,2,Al Thalaata,الثلاثاء,5,Jumādá al-ūlá,جُمادى الأولى,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:35 (GMT),07:59 (GMT),12:02 (GMT),14:09 (GMT),15:55 (GMT),15:56 (GMT),17:04 (GMT),06:25 (GMT),23:57 (GMT),08-Dec-21,1638954061,08/12/2021,DD-MM-YYYY,8,Wednesday,12,December,2021,AD,Anno Domini,03-05-1443,DD-MM-YYYY,3,Al Arba'a,الاربعاء,5,Jumādá al-ūlá,جُمادى الأولى,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:36 (GMT),08:00 (GMT),12:02 (GMT),14:09 (GMT),15:55 (GMT),15:56 (GMT),17:04 (GMT),06:26 (GMT),23:57 (GMT),09-Dec-21,1639040461,09/12/2021,DD-MM-YYYY,9,Thursday,12,December,2021,AD,Anno Domini,04-05-1443,DD-MM-YYYY,4,Al Khamees,الخميس,5,Jumādá al-ūlá,جُمادى الأولى,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
06:37 (GMT),08:01 (GMT),12:03 (GMT),14:08 (GMT),15:55 (GMT),15:56 (GMT),17:04 (GMT),06:27 (GMT),23:58 (GMT),10-Dec-21,1639126861,10/12/2021,DD-MM-YYYY,10,Friday,12,December,2021,AD,Anno Domini,05-05-1443,DD-MM-YYYY,5,Al Juma'a,الجمعة,5,Jumādá al-ūlá,جُمادى الأولى,1443,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
