datereadable,timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsMaghrib,timingsIsha
01/03/2022,05:19,06:51,12:17,03:52,05:45,07:17
02/03/2022,05:17,06:49,12:17,03:53,05:47,07:19
03/03/2022,05:15,06:46,12:17,03:55,05:48,07:20
04/03/2022,05:12,06:44,12:17,03:56,05:50,07:22
05/03/2022,05:10,06:42,12:16,03:58,05:52,07:24
06/03/2022,05:08,06:40,12:16,03:59,05:54,07:26
07/03/2022,05:06,06:38,12:16,04:01,05:56,07:27
08/03/2022,05:03,06:35,12:16,04:02,05:57,07:29
09/03/2022,05:01,06:33,12:16,04:04,05:59,07:31
10/03/2022,04:59,06:31,12:15,04:05,06:01,07:33
11/03/2022,04:56,06:29,12:15,04:07,06:03,07:35
12/03/2022,04:54,06:26,12:15,04:08,06:04,07:37
13/03/2022,04:52,06:24,12:14,04:10,06:06,07:38
14/03/2022,04:49,06:22,12:14,04:11,06:08,07:40
15/03/2022,04:47,06:19,12:14,04:13,06:09,07:42
16/03/2022,04:45,06:17,12:14,04:14,06:11,07:44
17/03/2022,04:42,06:15,12:13,04:15,06:13,07:46
18/03/2022,04:40,06:13,12:13,04:17,06:15,07:48
19/03/2022,04:37,06:10,12:13,04:18,06:16,07:50
20/03/2022,04:35,06:08,12:12,04:20,06:18,07:52
21/03/2022,04:32,06:06,12:12,04:21,06:20,07:53
22/03/2022,04:30,06:03,12:12,04:22,06:21,07:55
23/03/2022,04:27,06:01,12:12,04:24,06:23,07:57
24/03/2022,04:25,05:59,12:11,04:25,06:25,07:59
25/03/2022,04:22,05:56,12:11,04:26,06:27,08:01
26/03/2022,04:19,05:54,12:11,04:27,06:28,08:03
27/03/2022,05:17,06:52,01:10,05:29,07:30,09:05
28/03/2022,05:14,06:50,01:10,05:30,07:32,09:07
29/03/2022,05:12,06:47,01:10,05:31,07:33,09:09
30/03/2022,05:09,06:45,01:09,05:33,07:35,09:11
31/03/2022,05:06,06:43,01:09,05:34,07:37,09:13
